term 	 tf-idf weight 	 BM25 ranking 
 car 	 56.82025577855077 1.9618572638897382 
graphic 	 526.5239861767507 1.7604160135431688 
images 	 73.39635521608663 1.9341915053243766 
gif 	 13.30489203710762 1.9341915053243766 
maintenance 	 196.3460788675574 1.872575807786177 
tips 	 188.97602763491477 1.9132072900311463 
masthead 	 708.0368556133642 1.7604160135431688 
maintips480x60 	 752.3398947709385 1.7604160135431688 
worn 	 236.01228520445474 1.9132072900311463 
shocks 	 376.16994738546924 1.872575807786177 
sneak 	 814.7815214195958 1.7604160135431688 
noticed 	 621.8560242713091 1.7604160135431688 
quickly 	 476.408936509818 1.7604160135431688 
accustomed 	 921.5261872258274 1.7604160135431688 
annoying 	 921.5261872258274 1.7604160135431688 
shake 	 708.0368556133642 1.7604160135431688 
rattle 	 921.5261872258274 1.7604160135431688 
forget 	 814.7815214195958 1.7604160135431688 
condition 	 365.4448286786168 1.7604160135431688 
serious 	 494.54752400090103 1.7604160135431688 
shock 	 354.0184278066821 1.872575807786177 
absorbers 	 921.5261872258274 1.7604160135431688 
struts 	 460.7630936129137 1.872575807786177 
classic 	 504.48645625608697 1.7604160135431688 
example 	 271.7220006287069 1.7604160135431688 
kind 	 392.6921577351148 1.7604160135431688 
deterioration 	 621.8560242713091 1.7604160135431688 
warrants 	 673.672748710976 1.7604160135431688 
attention 	 328.6034565624783 1.7604160135431688 
indication 	 645.5952289647068 1.7604160135431688 
pending 	 673.672748710976 1.7604160135431688 
failure 	 338.7609836024151 1.7604160135431688 
critical 	 301.62202685261434 1.7604160135431688 
vehicle 	 413.96730986116063 1.7604160135431688 
dives 	 921.5261872258274 1.7604160135431688 
brakes 	 921.5261872258274 1.7604160135431688 
applied 	 374.0025857564576 1.7604160135431688 
sways 	 921.5261872258274 1.7604160135431688 
bottoms 	 814.7815214195958 1.7604160135431688 
bumpy 	 921.5261872258274 1.7604160135431688 
road 	 408.3666926588459 1.7604160135431688 
visual 	 538.8505631584753 1.7604160135431688 
inspection 	 601.2921898071326 1.7604160135431688 
discloses 	 814.7815214195958 1.7604160135431688 
potential 	 316.0250397862811 1.7604160135431688 
trouble 	 552.2503152148782 1.7604160135431688 
leaking 	 752.3398947709385 1.7604160135431688 
damaged 	 583.1536023160496 1.7604160135431688 
rubber 	 708.0368556133642 1.7604160135431688 
bushings 	 921.5261872258274 1.7604160135431688 
care 	 76.0992191750067 1.9341915053243766 
council 	 119.11256457395393 1.9132072900311463 
warns 	 708.0368556133642 1.7604160135431688 
weak 	 601.2921898071326 1.7604160135431688 
lead 	 378.4666664349385 1.7604160135431688 
poor 	 345.92506601018863 1.7604160135431688 
ride 	 354.0184278066821 1.872575807786177 
control 	 108.51034826815318 1.872575807786177 
affects 	 408.3666926588459 1.7604160135431688 
comfort 	 566.9280829047443 1.7604160135431688 
safety 	 349.6360889533639 1.7604160135431688 
factor 	 452.66973181642015 1.7604160135431688 
free 	 194.87736104638276 1.7604160135431688 
pamphlet 	 566.9280829047443 1.7604160135431688 
components 	 432.10589735224374 1.7604160135431688 
send 	 162.72911971161778 1.7604160135431688 
stamped 	 708.0368556133642 1.7604160135431688 
self 	 278.6705476618992 1.7604160135431688 
addressed 	 504.48645625608697 1.7604160135431688 
envelope 	 645.5952289647068 1.7604160135431688 
dept 	 583.1536023160496 1.7604160135431688 
grande 	 752.3398947709385 1.7604160135431688 
lake 	 438.66007797273824 1.7604160135431688 
drive 	 468.0825844341955 1.7604160135431688 
port 	 601.2921898071326 1.7604160135431688 
clinton 	 432.10589735224374 1.7604160135431688 
button 	 184.25245883739223 1.7604160135431688 
bar 	 296.2179636016788 1.7604160135431688 
tips2_buttons 	 376.16994738546924 1.872575807786177 
x98 	 376.16994738546924 1.872575807786177 
maps 	 538.8505631584753 1.7604160135431688 
map 	 408.3666926588459 1.7604160135431688 
html 	 12.102838445431077 1.947004448512713 
mainttips 	 708.0368556133642 1.7604160135431688 
industry 	 121.44571157356619 1.872575807786177 
news 	 281.0581923884379 1.7604160135431688 
quiz 	 708.0368556133642 1.7604160135431688 
ccquiz 	 752.3398947709385 1.7604160135431688 
service 	 233.77633695302143 1.7604160135431688 
department 	 296.2179636016788 1.7604160135431688 
cgi 	 476.408936509818 1.7604160135431688 
ais 	 645.5952289647068 1.7604160135431688 
secure 	 476.408936509818 1.7604160135431688 
home 	 34.38835505248635 1.872575807786177 
page 	 75.59472495138286 1.7604160135431688 
autoshop 	 336.836374355488 1.872575807786177 
mini 	 583.1536023160496 1.7604160135431688 
logo 	 383.06402275998937 1.7604160135431688 
autoshop_logo_small 	 708.0368556133642 1.7604160135431688 
copyright 	 120.10915741600083 1.7604160135431688 
automotive 	 552.2503152148782 1.7604160135431688 
information 	 127.91928167316935 1.7604160135431688 
systems 	 242.89142314713237 1.7604160135431688 
mailto 	 111.87189993354897 1.7604160135431688 
webmaster 	 552.2503152148782 1.7604160135431688 
online 	 504.48645625608697 1.7604160135431688 
com 	 37.16621140096968 1.872575807786177 
site 	 307.22264405492905 1.7604160135431688 
created 	 285.9474919288832 1.7604160135431688 
periscope 	 673.672748710976 1.7604160135431688 
marketing 	 361.3379186279639 1.7604160135431688 
communications 	 164.9773348224753 1.7604160135431688 
http 	 67.5688607759747 1.7604160135431688 
www 	 66.96847015196349 1.7604160135431688 
mpls 	 673.672748710976 1.7604160135431688 
modified 	 460.18341709851273 1.7604160135431688 
january 	 357.3376937218618 1.7604160135431688 
