term 	 tf-idf weight 	 BM25 ranking 
 cinfo 	 698.8415717742296 1.7631590308767715 
gif 	 52.52840492572359 1.7631590308767715 
press 	 494.67714601526995 1.5764724048020944 
release 	 255.17763829259633 1.8356172593160616 
immediate 	 893.5818082609852 1.5764724048020944 
contact 	 245.4022410894657 1.7631590308767715 
leslie 	 1608.3998864386826 1.5764724048020944 
remley 	 1819.116629328906 1.5764724048020944 
computer 	 78.37709876727705 1.9420292918080253 
motion 	 139.46423682400177 1.9260784161200601 
ext 	 742.5692467869003 1.7631590308767715 
michael 	 840.5783785689729 1.5764724048020944 
chan 	 1397.6831435484592 1.5764724048020944 
launches 	 1485.1384935738006 1.5764724048020944 
aesop 	 174.7103929435574 1.9350183926463873 
worlds 	 519.6860123302994 1.7631590308767715 
fda 	 664.9237519744697 1.7631590308767715 
cleared 	 698.8415717742296 1.7631590308767715 
surgical 	 237.39328013164715 1.898017523801798 
robot 	 454.2070090842463 1.7631590308767715 
capable 	 957.8197727358162 1.5764724048020944 
understanding 	 747.1030298455929 1.5764724048020944 
voice 	 142.1647108171884 1.9142861607035058 
commands 	 559.565380529358 1.7631590308767715 
available 	 237.89454227937006 1.7631590308767715 
san 	 249.03434328186427 1.8356172593160616 
francisco 	 865.9263876864444 1.5764724048020944 
october 	 327.60482239811046 1.7631590308767715 
american 	 337.0566430757558 1.5764724048020944 
college 	 765.5329148777889 1.5764724048020944 
surgeons 	 279.5366287096918 1.898017523801798 
clinical 	 325.41655258933747 1.8356172593160616 
congress 	 697.6972752782692 1.5764724048020944 
leading 	 156.18354911861655 1.8356172593160616 
supplier 	 1329.8475039489394 1.5764724048020944 
medical 	 115.90904927631344 1.898017523801798 
robots 	 531.8525038966769 1.7631590308767715 
announced 	 852.9882649031305 1.5764724048020944 
generation 	 470.2218074642359 1.7631590308767715 
control 	 85.68089837277549 1.898017523801798 
features 	 828.6552817703754 1.5764724048020944 
intuitive 	 1485.1384935738006 1.5764724048020944 
interface 	 306.88998600402266 1.8741265159511225 
ability 	 648.671758409048 1.5764724048020944 
understand 	 747.1030298455929 1.5764724048020944 
allows 	 908.4140181684926 1.5764724048020944 
surgeon 	 402.09997160967066 1.8741265159511225 
spoken 	 1186.9664006582357 1.5764724048020944 
english 	 675.7117941580628 1.5764724048020944 
precisely 	 1397.6831435484592 1.5764724048020944 
maneuver 	 1397.6831435484592 1.5764724048020944 
position 	 441.2063834103161 1.5764724048020944 
laparoscope 	 1397.6831435484592 1.5764724048020944 
specially 	 1608.3998864386826 1.5764724048020944 
designed 	 574.4358824133873 1.5764724048020944 
optical 	 1274.421750683577 1.5764724048020944 
tube 	 1329.8475039489394 1.5764724048020944 
connected 	 995.869368193834 1.5764724048020944 
video 	 488.1248288840062 1.7631590308767715 
camera 	 637.2108753417886 1.7631590308767715 
light 	 612.147887609061 1.5764724048020944 
source 	 747.1030298455929 1.5764724048020944 
passed 	 817.1822220635898 1.5764724048020944 
body 	 648.671758409048 1.5764724048020944 
allow 	 738.2908186361242 1.5764724048020944 
view 	 498.5997810853859 1.5764724048020944 
operation 	 721.3975838850616 1.5764724048020944 
monitor 	 976.2496577680124 1.5764724048020944 
pronounced 	 1329.8475039489394 1.5764724048020944 
eesop 	 1819.116629328906 1.5764724048020944 
companys 	 606.3722097763019 1.8356172593160616 
flagship 	 1819.116629328906 1.5764724048020944 
product 	 392.5763126518053 1.7631590308767715 
advisory 	 1227.5599440160906 1.5764724048020944 
team 	 432.9631938432222 1.7631590308767715 
comprised 	 1608.3998864386826 1.5764724048020944 
endoscopic 	 495.04616452460016 1.8356172593160616 
closely 	 893.5818082609852 1.5764724048020944 
company 	 282.233888137599 1.7631590308767715 
development 	 176.87551669248734 1.7631590308767715 
validations 	 1819.116629328906 1.5764724048020944 
successfully 	 478.9098863679081 1.7631590308767715 
completed 	 893.5818082609852 1.5764724048020944 
institutions 	 675.7117941580628 1.5764724048020944 
nation 	 817.1822220635898 1.5764724048020944 
easy 	 840.5783785689729 1.5764724048020944 
field 	 636.0032587032754 1.5764724048020944 
vision 	 738.2908186361242 1.5764724048020944 
surgery 	 531.8525038966769 1.7631590308767715 
research 	 348.8869296156565 1.5764724048020944 
confirmed 	 1090.1564663982012 1.5764724048020944 
ideal 	 893.5818082609852 1.5764724048020944 
delighted 	 1397.6831435484592 1.5764724048020944 
offer 	 738.2908186361242 1.5764724048020944 
advanced 	 765.5329148777889 1.5764724048020944 
solution 	 840.5783785689729 1.5764724048020944 
gene 	 1397.6831435484592 1.5764724048020944 
wang 	 593.4832003291178 1.7631590308767715 
ceo 	 1329.8475039489394 1.5764724048020944 
president 	 514.816959219795 1.5764724048020944 
plan 	 550.1028992806322 1.5764724048020944 
apply 	 806.1264582356439 1.5764724048020944 
technology 	 569.4109746202192 1.5764724048020944 
broad 	 785.1526253036106 1.5764724048020944 
range 	 690.1907210507964 1.5764724048020944 
devices 	 488.1248288840062 1.7631590308767715 
create 	 648.671758409048 1.5764724048020944 
industry 	 479.473978160573 1.5764724048020944 
standard 	 648.671758409048 1.5764724048020944 
machine 	 908.4140181684926 1.5764724048020944 
operating 	 397.7293485065089 1.7631590308767715 
acronym 	 1819.116629328906 1.5764724048020944 
automated 	 1186.9664006582357 1.5764724048020944 
system 	 327.91309668362334 1.5764724048020944 
optimal 	 1119.130761058716 1.5764724048020944 
positioning 	 1090.1564663982012 1.5764724048020944 
introduced 	 940.4436149284718 1.5764724048020944 
minimally 	 1485.1384935738006 1.5764724048020944 
invasive 	 1485.1384935738006 1.5764724048020944 
surgeries 	 1819.116629328906 1.5764724048020944 
assisted 	 1274.421750683577 1.5764724048020944 
hospitals 	 924.007179662308 1.5764724048020944 
centers 	 908.4140181684926 1.5764724048020944 
world 	 168.5283215378779 1.7631590308767715 
love 	 785.1526253036106 1.5764724048020944 
carlos 	 1274.421750683577 1.5764724048020944 
gracia 	 1819.116629328906 1.5764724048020944 
ramon 	 698.8415717742296 1.7631590308767715 
regional 	 747.1030298455929 1.5764724048020944 
center 	 472.1483224805385 1.5764724048020944 
quiet 	 1397.6831435484592 1.5764724048020944 
tell 	 924.007179662308 1.5764724048020944 
doesnt 	 909.558314664453 1.7631590308767715 
complain 	 1608.3998864386826 1.5764724048020944 
fatigue 	 1485.1384935738006 1.5764724048020944 
precision 	 1397.6831435484592 1.5764724048020944 
cant 	 1397.6831435484592 1.5764724048020944 
duplicate 	 1819.116629328906 1.5764724048020944 
holding 	 828.6552817703754 1.5764724048020944 
motions 	 1485.1384935738006 1.5764724048020944 
core 	 470.2218074642359 1.7631590308767715 
led 	 697.6972752782692 1.5764724048020944 
chief 	 661.8912324387287 1.5764724048020944 
technical 	 775.1845191654214 1.5764724048020944 
officer 	 924.007179662308 1.5764724048020944 
founder 	 1274.421750683577 1.5764724048020944 
yulun 	 1819.116629328906 1.5764724048020944 
holds 	 976.2496577680124 1.5764724048020944 
key 	 531.9482519313391 1.5764724048020944 
patents 	 1608.3998864386826 1.5764724048020944 
robotics 	 354.56833593111793 1.8356172593160616 
applications 	 356.6452183860423 1.7631590308767715 
currently 	 642.2715220129071 1.5764724048020944 
developing 	 713.2904367720846 1.5764724048020944 
robotic 	 1063.7050077933538 1.5764724048020944 
enhanced 	 1151.1603578186953 1.5764724048020944 
leverage 	 1819.116629328906 1.5764724048020944 
technologies 	 1039.3720246605988 1.5764724048020944 
underlying 	 893.5818082609852 1.5764724048020944 
family 	 519.0101291480252 1.5764724048020944 
products 	 682.865065370762 1.5764724048020944 
founded 	 1039.3720246605988 1.5764724048020944 
leader 	 675.7117941580628 1.5764724048020944 
mission 	 795.4586970130179 1.5764724048020944 
enhance 	 1151.1603578186953 1.5764724048020944 
capabilities 	 1090.1564663982012 1.5764724048020944 
improve 	 775.1845191654214 1.5764724048020944 
outcomes 	 1186.9664006582357 1.5764724048020944 
reducing 	 995.869368193834 1.5764724048020944 
costs 	 648.671758409048 1.5764724048020944 
computers 	 924.007179662308 1.5764724048020944 
privately 	 1397.6831435484592 1.5764724048020944 
held 	 574.4358824133873 1.5764724048020944 
based 	 374.02521123257105 1.5764724048020944 
goleta 	 1819.116629328906 1.5764724048020944 
web 	 623.8416369807109 1.5764724048020944 
site 	 606.4654791733665 1.5764724048020944 
http 	 66.69134310355945 1.7631590308767715 
www 	 66.09874976037955 1.7631590308767715 
computermotion 	 1819.116629328906 1.5764724048020944 
com 	 146.73413332330887 1.5764724048020944 
image 	 275.0514496403161 1.7631590308767715 
toolbar1 	 1397.6831435484592 1.5764724048020944 
rain 	 1039.3720246605988 1.5764724048020944 
org 	 775.1845191654214 1.5764724048020944 
cgi 	 940.4436149284718 1.5764724048020944 
bin 	 1090.1564663982012 1.5764724048020944 
imagemap 	 1016.8432011258673 1.5764724048020944 
cmotion 	 1397.6831435484592 1.5764724048020944 
map 	 806.1264582356439 1.5764724048020944 
information 	 126.25799230079052 1.7631590308767715 
htm 	 28.491753430981895 1.9260784161200601 
pinfo 	 1397.6831435484592 1.5764724048020944 
publications 	 564.467776275198 1.5764724048020944 
pubs 	 1274.421750683577 1.5764724048020944 
endorsements 	 1397.6831435484592 1.5764724048020944 
endors 	 1397.6831435484592 1.5764724048020944 
training 	 655.2096447962209 1.5764724048020944 
support 	 211.10009744399528 1.7631590308767715 
news 	 554.8161719875657 1.5764724048020944 
home 	 135.76701215527078 1.5764724048020944 
index2 	 1151.1603578186953 1.5764724048020944 
