term 	 tf-idf weight 	 BM25 ranking 
 travel1 	 556.5060741039088 1.8481089208908341 
gif 	 10.713029951956784 1.9466694977867431 
travel 	 282.67324904142976 1.8481089208908341 
insurance 	 23.977204557094623 1.9819014306649205 
aking 	 556.5060741039088 1.8481089208908341 
trip 	 317.9657838599858 1.8481089208908341 
lot 	 311.0737424496897 1.8481089208908341 
fun 	 375.5364302417646 1.8481089208908341 
peace 	 215.7948410138516 1.8481089208908341 
mind 	 180.50230619529555 1.8481089208908341 
comes 	 269.0391259415853 1.8481089208908341 
additional 	 231.33087088752603 1.8481089208908341 
coverage 	 111.61940641374524 1.9210567672424392 
travelling 	 454.3351312577745 1.8481089208908341 
friendly 	 317.9657838599858 1.8481089208908341 
staff 	 189.04040827583597 1.8481089208908341 
supply 	 228.55454531460572 1.8481089208908341 
meets 	 363.11801072768395 1.8481089208908341 
service 	 141.17661906903243 1.8481089208908341 
commitment 	 260.9470678815498 1.8481089208908341 
phone 	 211.1438719004081 1.8481089208908341 
obligation 	 333.50181373366024 1.8481089208908341 
quote 	 427.58069851975887 1.8481089208908341 
ins_locs 	 139.1265185259772 1.9597336955603022 
htm 	 10.168931734412945 1.97297442704885 
rained 	 556.5060741039088 1.8481089208908341 
specialized 	 333.50181373366024 1.8481089208908341 
advice 	 293.0172331066806 1.8481089208908341 
professional 	 187.2689261435614 1.8481089208908341 
describe 	 282.67324904142976 1.8481089208908341 
complete 	 206.7144633444074 1.8481089208908341 
package 	 304.65740540140314 1.8481089208908341 
benefits 	 98.24219004473743 1.9210567672424392 
includes 	 127.29986603767156 1.8481089208908341 
hospital 	 117.09631757176706 1.9210567672424392 
medical 	 88.64754591033841 1.9210567672424392 
baggage 	 454.3351312577745 1.8481089208908341 
accidental 	 389.8724434656996 1.8481089208908341 
death 	 168.28805800361445 1.8481089208908341 
dismemberment 	 556.5060741039088 1.8481089208908341 
vehicle 	 249.9932455655061 1.8481089208908341 
return 	 141.17661906903243 1.8481089208908341 
allowance 	 556.5060741039088 1.8481089208908341 
flight 	 325.4097556736247 1.8481089208908341 
accident 	 311.0737424496897 1.8481089208908341 
provide 	 157.49334607710833 1.8481089208908341 
premium 	 342.3656604554625 1.8481089208908341 
protection 	 187.2689261435614 1.8481089208908341 
affordable 	 375.5364302417646 1.8481089208908341 
rate 	 200.44242423042286 1.8481089208908341 
anim_new 	 278.2530370519544 1.9210567672424392 
province 	 406.8283482475374 1.8481089208908341 
emergency 	 260.9470678815498 1.8481089208908341 
easisure 	 556.5060741039088 1.8481089208908341 
offices 	 218.21056124935484 1.8481089208908341 
products 	 208.90279960355548 1.8481089208908341 
services 	 131.0579531030941 1.8481089208908341 
ins_prod 	 556.5060741039088 1.8481089208908341 
financial 	 156.22802043592094 1.8481089208908341 
planners 	 375.5364302417646 1.8481089208908341 
planrs 	 556.5060741039088 1.8481089208908341 
mis2 	 556.5060741039088 1.8481089208908341 
button 	 111.26934202517842 1.8481089208908341 
jpg 	 246.61105465761474 1.8481089208908341 
direct 	 206.7144633444074 1.8481089208908341 
copyright 	 72.53345220576674 1.8481089208908341 
surrey 	 352.16418841164034 1.8481089208908341 
metro 	 325.4097556736247 1.8481089208908341 
savings 	 269.0391259415853 1.8481089208908341 
september 	 220.69070822799583 1.8481089208908341 
