term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 1630.789596905175 1.218330142165185 
eeeeeee 	 2948.03597320536 0.9421587353852721 
zzzzzzz 	 5896.07194641072 0.616224750635628 
tttttttnn 	 11792.14389282144 0.36422321532813573 
eeee 	 5896.07194641072 0.616224750635628 
hazai 	 12059.679346394352 0.36422321532813573 
sajtosajtokivonatok 	 16011.973963958611 0.36422321532813573 
napi 	 2591.7682410517573 1.053614416010117 
hetilapokbol 	 12958.841205258788 0.36422321532813573 
szent 	 12489.39999235297 0.36422321532813573 
hirek 	 12641.112751079649 0.36422321532813573 
sorok 	 12958.841205258788 0.36422321532813573 
kozt 	 13660.9212254183 0.36422321532813573 
olvaso 	 12958.841205258788 0.36422321532813573 
szabad 	 3887.8262642150926 0.8009463801138936 
velemenyeivel 	 16011.973963958611 0.36422321532813573 
tarkitva 	 16011.973963958611 0.36422321532813573 
magyar 	 815.3947984525875 1.5142388609585382 
nsz 	 1978.9596531753045 1.218330142165185 
nepszabadsag 	 12342.085329963102 0.36422321532813573 
hirlap 	 3122.3499980882425 0.9421587353852721 
nszv 	 2770.5435144454264 1.053614416010117 
nepszava 	 13125.479084845227 0.36422321532813573 
esti 	 13852.717572227131 0.36422321532813573 
hvg 	 14938.101149941866 0.36422321532813573 
heti 	 7237.891286550182 0.616224750635628 
vilaggazdasag 	 7026.018618236053 0.616224750635628 
gazdasag 	 4265.831440141364 0.8009463801138936 
copyright 	 3963.602194728027 0.36422321532813573 
egyszer 	 4319.613735086263 0.8009463801138936 
mar 	 372.6370819626566 1.7395772706802057 
megjelent 	 12797.494320424092 0.36422321532813573 
hetilap 	 14475.782573100363 0.36422321532813573 
anyagot 	 14701.68643048534 0.36422321532813573 
szabadon 	 7026.018618236053 0.616224750635628 
utankozolhetonek 	 15186.052764250919 0.36422321532813573 
tart 	 6479.420602629394 0.616224750635628 
kulfold 	 13476.100857741916 0.36422321532813573 
elftarsak 	 24827.216527440967 0.36422321532813573 
elftarsakrol 	 30410.364178452302 0.36422321532813573 
nagy 	 1922.9984892435018 1.1438225105634834 
imre 	 4617.57252407571 0.8009463801138936 
elete 	 11115.600353731103 0.616224750635628 
munkassaga 	 26887.79020684666 0.36422321532813573 
cimmel 	 8005.986981979306 0.616224750635628 
egynapos 	 24827.216527440967 0.36422321532813573 
tudomanyos 	 19244.068876429636 0.36422321532813573 
szeminariumot 	 30410.364178452302 0.36422321532813573 
rendeztek 	 23365.21623524102 0.36422321532813573 
moszkvaban 	 19842.642263635375 0.36422321532813573 
nehai 	 24827.216527440967 0.36422321532813573 
miniszterelnok 	 2659.5533540922083 1.053614416010117 
szuletesenek 	 30410.364178452302 0.36422321532813573 
evforduloja 	 26887.79020684666 0.36422321532813573 
alkalmabol 	 10260.6244004766 0.616224750635628 
eloadok 	 26887.79020684666 0.36422321532813573 
kozul 	 12641.112751079649 0.36422321532813573 
kende 	 22231.200707462205 0.36422321532813573 
peter 	 5264.731632433231 0.616224750635628 
arrol 	 2009.9465577323922 1.1438225105634834 
beszelt 	 5440.022764009911 0.8009463801138936 
hogy 	 129.72189975382074 1.902885005879933 
kommunista 	 4900.562143495114 0.8009463801138936 
volt 	 1268.391908704025 1.334209150740914 
sorsdonto 	 26887.79020684666 0.36422321532813573 
pillanatban 	 6236.208911952187 0.8009463801138936 
nepet 	 8687.645771916386 0.616224750635628 
valasztotta 	 20521.2488009532 0.36422321532813573 
ezert 	 5896.07194641072 0.616224750635628 
megerdemli 	 23365.21623524102 0.36422321532813573 
neve 	 17375.291543832773 0.36422321532813573 
orokke 	 24827.216527440967 0.36422321532813573 
szabadsag 	 8499.337414673779 0.616224750635628 
jelkepei 	 30410.364178452302 0.36422321532813573 
kozott 	 1281.998992829001 1.334209150740914 
szerepeljen 	 26887.79020684666 0.36422321532813573 
jaj 	 23365.21623524102 0.36422321532813573 
erdekes 	 15446.725286328452 0.36422321532813573 
par 	 7723.362643164226 0.616224750635628 
nappal 	 6840.4162669844 0.8009463801138936 
orosz 	 3239.710301314697 0.9421587353852721 
elnokvalasztas 	 24827.216527440967 0.36422321532813573 
elott 	 1922.9984892435018 1.1438225105634834 
tegnap 	 2732.1842450836602 1.053614416010117 
nazranyi 	 30410.364178452302 0.36422321532813573 
csecsen 	 30410.364178452302 0.36422321532813573 
fegyverszuneti 	 30410.364178452302 0.36422321532813573 
