term 	 tf-idf weight 	 BM25 ranking 
 lslogo 	 2012.7534847118613 1.4661697079279497 
gif 	 47.45987462587307 1.7835387036196428 
intro 	 1802.2933277202733 1.4661697079279497 
day 	 572.1923693876714 1.4661697079279497 
short 	 407.1802376636722 1.6919768291488704 
course 	 162.94726127228367 1.8855773320498757 
including 	 120.57740413202777 1.7835387036196428 
space 	 20.045390344687075 1.9832073728877162 
activities 	 739.2439939282351 1.4661697079279497 
issues 	 95.36539489794524 1.8855773320498757 
flight 	 131.05456435731512 1.935921258256949 
current 	 145.15020612493217 1.833139163594296 
developments 	 546.2567447254692 1.6919768291488704 
future 	 89.34680039391912 1.9011152375902838 
trends 	 253.130302875316 1.833139163594296 
march 	 897.0368018577507 1.4661697079279497 
cocoa 	 1894.2284708617276 1.4661697079279497 
beach 	 1378.0901278416359 1.4661697079279497 
learn 	 1123.045973978272 1.4661697079279497 
fundamental 	 1211.038503301072 1.4661697079279497 
nature 	 232.5708192966618 1.7835387036196428 
universe 	 492.48296508339797 1.7835387036196428 
description 	 503.3660865064469 1.4661697079279497 
environment 	 250.6406390996459 1.7835387036196428 
basic 	 284.54275646890875 1.7835387036196428 
concepts 	 1012.521211501264 1.4661697079279497 
history 	 151.2224518458459 1.7835387036196428 
program 	 162.04169240434024 1.7835387036196428 
descriptions 	 1663.6667662323334 1.4661697079279497 
mission 	 269.51396642217384 1.833139163594296 
types 	 203.5901188318361 1.833139163594296 
purposes 	 1000.578346309484 1.4661697079279497 
assessment 	 1078.0558656886953 1.4661697079279497 
planned 	 1252.272888226549 1.4661697079279497 
scientific 	 1107.4969588493389 1.4661697079279497 
commercial 	 945.5634125481806 1.4661697079279497 
missions 	 720.8001039652332 1.6919768291488704 
molded 	 2465.3817476431227 1.4661697079279497 
limited 	 870.4469311490715 1.4661697079279497 
applications 	 966.6962498358515 1.4661697079279497 
goes 	 546.2567447254692 1.6919768291488704 
satellites 	 288.3200415860933 1.8642461304536555 
attend 	 1408.6226123689692 1.4661697079279497 
executives 	 738.7244476250969 1.6919768291488704 
managers 	 689.0450639208179 1.6919768291488704 
financial 	 692.1069292430045 1.4661697079279497 
officers 	 1107.4969588493389 1.4661697079279497 
administrators 	 831.8333831161667 1.6919768291488704 
policy 	 218.2895653060259 1.7835387036196428 
makers 	 674.832532394506 1.6919768291488704 
nontechnical 	 1232.6908738215614 1.6919768291488704 
professionals 	 297.9680642148741 1.833139163594296 
aerospace 	 863.5884231605819 1.6919768291488704 
related 	 163.71717397951943 1.833139163594296 
industries 	 661.5375970401662 1.6919768291488704 
fundamentals 	 1089.9025546262126 1.6919768291488704 
planning 	 488.841783816851 1.6919768291488704 
technical 	 350.1930064650807 1.7835387036196428 
expand 	 1378.0901278416359 1.4661697079279497 
knowledge 	 448.51840092887534 1.6919768291488704 
technologies 	 281.72452247379385 1.8642461304536555 
educators 	 2012.7534847118613 1.4661697079279497 
wishing 	 2179.805109252425 1.4661697079279497 
gain 	 1191.8722568594965 1.4661697079279497 
insight 	 704.3113061844846 1.6919768291488704 
potential 	 845.4695869607002 1.4661697079279497 
summary 	 845.4695869607002 1.4661697079279497 
engineering 	 1156.023569539769 1.4661697079279497 
background 	 870.4469311490715 1.4661697079279497 
presentation 	 1274.5485833899027 1.4661697079279497 
designed 	 778.5117880076169 1.4661697079279497 
quickly 	 1274.5485833899027 1.4661697079279497 
develop 	 925.4618649103749 1.4661697079279497 
attendees 	 1089.9025546262126 1.6919768291488704 
receive 	 467.69502808047383 1.6919768291488704 
comprehensive 	 925.4618649103749 1.4661697079279497 
briefings 	 2465.3817476431227 1.4661697079279497 
elements 	 906.2956184687989 1.4661697079279497 
limitations 	 674.832532394506 1.6919768291488704 
definitions 	 626.1364441132745 1.6919768291488704 
survey 	 333.5261154364947 1.7835387036196428 
industry 	 216.60447259008342 1.7835387036196428 
orbits 	 544.9512773131063 1.833139163594296 
spacecraft 	 947.1142354308638 1.6919768291488704 
political 	 390.1572754487072 1.4661697079279497 
extremely 	 1323.0751940803325 1.4661697079279497 
useful 	 1252.272888226549 1.4661697079279497 
understand 	 1012.521211501264 1.4661697079279497 
effective 	 861.9517848215443 1.4661697079279497 
correct 	 1139.2049077974239 1.4661697079279497 
decisions 	 1012.521211501264 1.4661697079279497 
materials 	 977.683567633702 1.4661697079279497 
extensive 	 1139.2049077974239 1.4661697079279497 
set 	 611.4601634670533 1.4661697079279497 
notes 	 726.9445731105665 1.4661697079279497 
copies 	 1441.6002079304665 1.4661697079279497 
