term 	 tf-idf weight 	 BM25 ranking 
 abolition 	 218.07684458032074 1.9156064339508632 
global 	 461.56596323471916 1.709504720340356 
network 	 124.00292800263244 1.9156064339508632 
eliminate 	 2548.4569763552036 1.2541125136269544 
nuclear 	 88.10734358081778 1.9392946431097078 
weapons 	 195.74813339751393 1.9016510329032348 
organisations 	 841.153543381237 1.709504720340356 
growing 	 1407.9940562740276 1.2541125136269544 
continent 	 5255.449918703899 0.9134478523615482 
grew 	 5255.449918703899 0.9134478523615482 
seeds 	 5888.074803668659 0.9134478523615482 
world 	 213.1946623966012 1.709504720340356 
court 	 309.7148615102444 1.7411163504111475 
project 	 740.2147466377447 1.5415724052259656 
international 	 201.78144618309648 1.7665232383572274 
coalition 	 1834.490146814022 1.2541125136269544 
proliferation 	 1962.6916012228867 1.4321495899156875 
alliance 	 1634.4398715201037 1.2541125136269544 
arms 	 2300.9781993308648 1.2541125136269544 
caucus 	 1031.4043372895976 1.6690992655140875 
movements 	 3521.9980466431643 0.9134478523615482 
streams 	 7121.402128771272 0.9134478523615482 
river 	 4240.873072705292 0.9134478523615482 
membership 	 3268.8797430402074 0.9134478523615482 
body 	 1436.0397809516098 1.2541125136269544 
endorsing 	 6575.646093257683 0.9134478523615482 
statement 	 277.81002109281457 1.8048310667924057 
drafted 	 2627.7249593519496 1.2541125136269544 
npt 	 1006.7972792256198 1.7411163504111475 
conference 	 431.9249896565064 1.709504720340356 
york 	 741.7370525931857 1.4321495899156875 
arching 	 8054.378233804959 0.9134478523615482 
premise 	 5642.669988223996 0.9134478523615482 
vision 	 3268.8797430402074 0.9134478523615482 
entering 	 4022.1225936012866 0.9134478523615482 
century 	 1342.6028535647224 1.2541125136269544 
plan 	 2435.652968525431 0.9134478523615482 
elimination 	 2717.5915865882534 1.2541125136269544 
organised 	 2191.882031085894 1.4321495899156875 
termed 	 2717.5915865882534 1.2541125136269544 
tight 	 3094.213011868793 1.2541125136269544 
usual 	 5255.449918703899 0.9134478523615482 
