term 	 tf-idf weight 	 BM25 ranking 
 mkext 	 751.2920522180689 1.7770033464925117 
gif 	 24.536294406094573 1.881918741896497 
morrison 	 198.42970240906575 1.919698817147936 
knudsen 	 231.23866895556984 1.919698817147936 
plaza 	 595.2891072271972 1.7770033464925117 
box 	 366.74892366155495 1.7770033464925117 
boise 	 375.64602610903444 1.881918741896497 
idaho 	 693.7160068667094 1.7770033464925117 
telex 	 751.2920522180689 1.7770033464925117 
phone 	 322.39171838556933 1.7770033464925117 
fax 	 336.96860826210116 1.7770033464925117 
news 	 129.57877701025382 1.881918741896497 
release 	 357.58445366001985 1.7770033464925117 
information 	 58.97577271944821 1.881918741896497 
contact 	 229.257356807264 1.7770033464925117 
brent 	 652.8651525785566 1.7770033464925117 
brandon 	 751.2920522180689 1.7770033464925117 
vice 	 410.7909234807002 1.7770033464925117 
president 	 120.23685560725475 1.881918741896497 
corporate 	 353.21487812934083 1.7770033464925117 
communications 	 152.12195808306166 1.7770033464925117 
september 	 336.96860826210116 1.7770033464925117 
wins 	 595.2891072271972 1.7770033464925117 
awards 	 447.4026570015983 1.7770033464925117 
adam 	 248.4311037938425 1.881918741896497 
opel 	 424.8594759287905 1.881918741896497 
automotive 	 254.60891156010624 1.881918741896497 
complexes 	 424.8594759287905 1.881918741896497 
poland 	 106.08124225322858 1.9391634570661753 
thailand 	 163.21628814463915 1.9391634570661753 
corporation 	 157.81426771454758 1.881918741896497 
announced 	 398.4353079481728 1.7770033464925117 
cleveland 	 595.2891072271972 1.7770033464925117 
based 	 174.70914472047727 1.7770033464925117 
engineering 	 398.4353079481728 1.7770033464925117 
construction 	 170.42963129840672 1.881918741896497 
awarded 	 496.862207587685 1.7770033464925117 
program 	 83.7739817527293 1.881918741896497 
management 	 118.31781986771247 1.881918741896497 
services 	 66.70333097003356 1.919698817147936 
contracts 	 431.6086168159465 1.7770033464925117 
rsselsheim 	 424.8594759287905 1.881918741896497 
germany 	 322.39171838556933 1.7770033464925117 
metal 	 621.1787682919388 1.7770033464925117 
fabrication 	 751.2920522180689 1.7770033464925117 
car 	 366.74892366155495 1.7770033464925117 
assembly 	 509.2178231202125 1.7770033464925117 
built 	 376.5459114127021 1.7770033464925117 
preliminary 	 573.3997106917266 1.7770033464925117 
design 	 265.97486314497087 1.7770033464925117 
facilities 	 366.74892366155495 1.7770033464925117 
underway 	 693.7160068667094 1.7770033464925117 
completion 	 537.7130618758379 1.7770033464925117 
projects 	 190.85505844248314 1.881918741896497 
scheduled 	 439.28616223632565 1.7770033464925117 
late 	 329.4931981071712 1.7770033464925117 
robert 	 302.99799241475273 1.7770033464925117 
tinstman 	 751.2920522180689 1.7770033464925117 
chief 	 309.17287831019564 1.7770033464925117 
executive 	 340.85926259681344 1.7770033464925117 
officer 	 431.6086168159465 1.7770033464925117 
delighted 	 652.8651525785566 1.7770033464925117 
mk's 	 424.8594759287905 1.881918741896497 
expertise 	 595.2891072271972 1.7770033464925117 
abroad 	 404.4787731956418 1.7770033464925117 
support 	 197.21193313846928 1.7770033464925117 
client's 	 621.1787682919388 1.7770033464925117 
worldwide 	 417.3967657008549 1.7770033464925117 
expansion 	 336.96860826210116 1.7770033464925117 
scope 	 474.97281105221435 1.7770033464925117 
sites 	 387.06924345853065 1.7770033464925117 
similar 	 280.67763955457013 1.7770033464925117 
include 	 242.4323629573012 1.7770033464925117 
common 	 254.78797848982862 1.7770033464925117 
systems 	 223.96481874605712 1.7770033464925117 
equipment 	 353.21487812934083 1.7770033464925117 
project 	 312.364023841188 1.7770033464925117 
locations 	 496.862207587685 1.7770033464925117 
headquartered 	 751.2920522180689 1.7770033464925117 
office 	 232.89858195435792 1.7770033464925117 
fully 	 366.74892366155495 1.7770033464925117 
staffed 	 751.2920522180689 1.7770033464925117 
field 	 297.08046952587205 1.7770033464925117 
offices 	 333.18171717643423 1.7770033464925117 
founded 	 485.4961430980428 1.7770033464925117 
serves 	 424.3249690129143 1.7770033464925117 
world's 	 509.2178231202125 1.7770033464925117 
industrial 	 280.67763955457013 1.7770033464925117 
heavy 	 496.862207587685 1.7770033464925117 
environmental 	 318.96986606134277 1.7770033464925117 
mining 	 573.3997106917266 1.7770033464925117 
operations 	 309.17287831019564 1.7770033464925117 
maintenance 	 362.09276882069025 1.7770033464925117 
power 	 204.57109277524052 1.7770033464925117 
transportation 	 366.74892366155495 1.7770033464925117 
markets 	 424.3249690129143 1.7770033464925117 
engineer 	 595.2891072271972 1.7770033464925117 
constructor 	 751.2920522180689 1.7770033464925117 
mail 	 250.54885772257387 1.7770033464925117 
mkcorp 	 375.64602610903444 1.881918741896497 
com 	 34.2701429801149 1.881918741896497 
mailto 	 103.15460902963606 1.7770033464925117 
return 	 107.77999950431507 1.881918741896497 
releases 	 554.4382529390443 1.7770033464925117 
press 	 231.066298467659 1.7770033464925117 
htm 	 46.58026794473027 1.881918741896497 
mkicon 	 693.7160068667094 1.7770033464925117 
home 	 63.41748594094885 1.7770033464925117 
page 	 69.70422690322316 1.7770033464925117 
header 	 392.63858472629653 1.7770033464925117 
