term 	 tf-idf weight 	 BM25 ranking 
 newtau 	 161.21569173662965 1.9433263181573375 
gif 	 5.702096587331837 1.9712559005925003 
royal 	 62.480743105291026 1.9712559005925003 
oak 	 66.62743117192598 1.9712559005925003 
francis 	 133.25486234385195 1.9433263181573375 
fraternity 	 161.21569173662965 1.9433263181573375 
richard 	 92.59412086119508 1.9433263181573375 
schultz 	 174.5960403041991 1.9433263181573375 
sfo 	 151.7221833457209 1.9433263181573375 
minister 	 74.92201906143514 1.9433263181573375 
raschu 	 98.73494863133865 1.9712559005925003 
aol 	 62.480743105291026 1.9712559005925003 
com 	 7.964188157350645 1.9712559005925003 
mailto 	 23.972549985760494 1.9433263181573375 
slate 	 197.4698972626773 1.9433263181573375 
troy 	 197.4698972626773 1.9433263181573375 
meet 	 68.37313808354847 1.9433263181573375 
wednesday 	 144.35844615235197 1.9433263181573375 
dennis 	 161.21569173662965 1.9433263181573375 
parish 	 151.7221833457209 1.9433263181573375 
office 	 54.12431834150571 1.9433263181573375 
mile 	 138.34183477815148 1.9433263181573375 
stephenson 	 174.5960403041991 1.9433263181573375 
index 	 14.350386461135031 1.9433263181573375 
bluhome 	 161.21569173662965 1.9433263181573375 
newfrat 	 161.21569173662965 1.9433263181573375 
htm 	 21.64998369262111 1.9433263181573375 
