term 	 tf-idf weight 	 BM25 ranking 
 icons 	 477.58101350144784 1.7561470938845098 
house 	 563.8529735241453 1.5652960932494582 
gif 	 54.29951068390999 1.7561470938845098 
library 	 205.56981540817506 1.870157957065891 
home 	 187.12624372716598 1.45955069504348 
page 	 88.14709579210414 1.7260820844216456 
but3 	 7521.807904823799 0.9474837570748076 
homepage 	 1252.0574789888105 1.45955069504348 
htm 	 43.4035558239629 1.889526907102509 
faculty 	 1051.1282103743547 1.5652960932494582 
law 	 11.428340733361825 1.9761391056160715 
but6 	 7521.807904823799 0.9474837570748076 
http 	 5.99478105557596 1.9761391056160715 
www 	 6.748386001364286 1.972942575254647 
utoronto 	 940.2259881029748 1.7561470938845098 
university 	 377.1655748980585 1.7561470938845098 
toronto 	 3070.4261289839924 1.2858204966192937 
but5 	 7521.807904823799 0.9474837570748076 
related 	 665.9951058001809 1.45955069504348 
logo6 	 7521.807904823799 0.9474837570748076 
arbitration 	 5075.798847461269 0.9474837570748076 
alternative 	 2793.9793593969903 0.9474837570748076 
dispute 	 3960.4587313451343 0.9474837570748076 
resolution 	 3205.2859887859695 0.9474837570748076 
banking 	 3888.6106051483193 0.9474837570748076 
bankruptcy 	 4759.896611112171 0.9474837570748076 
commerical 	 7521.807904823799 0.9474837570748076 
competition 	 1644.5585232654005 1.2858204966192937 
communications 	 269.3201426907162 1.6364324512172066 
constitutional 	 299.0106405937091 1.8165523064817422 
contracts 	 3820.6481080115827 0.9474837570748076 
corporation 	 2793.9793593969903 0.9474837570748076 
criminal 	 3089.1727253812837 0.9474837570748076 
employment 	 457.89799839799565 1.7260820844216456 
entertainment 	 4398.280246040283 0.9474837570748076 
sports 	 1590.6548236058645 0.9474837570748076 
environmental 	 282.3557194641605 1.8000416321985588 
family 	 2146.038593220617 0.9474837570748076 
nations 	 1111.0756118445224 1.45955069504348 
health 	 335.6000708397882 1.6875609854592821 
human 	 176.12684321958824 1.8165523064817422 
rights 	 89.08661140837701 1.8425532404935212 
intellectual 	 447.56145942510716 1.7561470938845098 
property 	 317.0942018862759 1.7802650272484153 
international 	 130.45796666301126 1.8425532404935212 
trade 	 383.167481353465 1.7260820844216456 
economics 	 795.3274118029323 1.2858204966192937 
labour 	 5498.744448894135 0.9474837570748076 
legal 	 536.5096483051542 1.5652960932494582 
theory 	 2439.692461155769 0.9474837570748076 
litigation 	 4759.896611112171 0.9474837570748076 
practice 	 1544.5863626906419 1.2858204966192937 
probate 	 5075.798847461269 0.9474837570748076 
trusts 	 5779.235892896096 0.9474837570748076 
estates 	 6650.521898859947 0.9474837570748076 
