term 	 tf-idf weight 	 BM25 ranking 
 contessa 	 167.55021585924135 1.9517058907864953 
gif 	 3.2254283726321504 1.9836385768093459 
index 	 2.4352170964350357 1.9901509170828782 
html 	 2.200516080987468 1.9901509170828782 
faq 	 48.986414832588665 1.97555784233533 
info 	 29.00678585362662 1.97555784233533 
front 	 68.00047013753775 1.9517058907864953 
barrone 	 167.55021585924135 1.9517058907864953 
nueces 	 148.14209480356288 1.9517058907864953 
austin 	 109.32585269220593 1.9517058907864953 
dorm 	 148.14209480356288 1.9517058907864953 
fax 	 66.44451430520304 1.9517058907864953 
floorplan 	 167.55021585924135 1.9517058907864953 
square 	 88.22024222566728 1.9517058907864953 
feet 	 91.72481022837945 1.9517058907864953 
floor 	 89.91773163652746 1.9517058907864953 
