term 	 tf-idf weight 	 BM25 ranking 
 united 	 223.36010734125406 1.7495287648185938 
arab 	 701.0826239346941 1.7187784391993488 
pleasure 	 185.90036584895645 1.9123881612858018 
craft 	 327.08011666218204 1.866398552515959 
isa9207 	 1714.2156684412275 1.5548110435435696 
usdoc 	 3428.431336882455 1.2717307915514249 
international 	 582.8575503416636 1.4474154790941047 
trade 	 251.3991025413057 1.8113973462814252 
administration 	 553.1555323814478 1.5548110435435696 
source 	 1592.5090899340269 1.2717307915514249 
key 	 755.9264632708503 1.4474154790941047 
program 	 764.5850728981491 1.2717307915514249 
market 	 66.18678019272313 1.939949656927378 
research 	 1487.3600683614832 0.9322619539254282 
reports 	 1652.3670013789244 1.2717307915514249 
update 	 4083.3369258737425 0.9322619539254282 
monthly 	 4083.3369258737425 0.9322619539254282 
title 	 1497.6868162268165 0.9322619539254282 
data 	 544.2782647444988 1.5548110435435696 
type 	 3185.0181798680537 0.9322619539254282 
text 	 1695.5830120540643 1.2717307915514249 
updated 	 1388.3806878566754 0.9322619539254282 
keywords 	 6856.86267376491 0.9322619539254282 
antiboycott 	 1292.5302366284332 1.6794209898650796 
compliance 	 866.9926241178447 1.6272546222608926 
laws 	 853.8925372364388 1.4474154790941047 
prospects 	 1101.578000919283 1.4474154790941047 
cc520 	 7755.181419770599 0.9322619539254282 
competition 	 1695.5830120540643 1.2717307915514249 
distribution 	 1036.9802918438268 1.4474154790941047 
users 	 1936.3561966223133 1.2717307915514249 
isa 	 6331.379893656728 0.9322619539254282 
access 	 931.0873899735772 1.4474154790941047 
assessment 	 1130.3886747027095 1.4474154790941047 
plb 	 6856.86267376491 0.9322619539254282 
boats 	 283.7401870361534 1.8965632665222003 
accessories 	 1308.3204666487281 1.5548110435435696 
boat 	 297.6603048090313 1.8737614124259545 
sporting 	 6331.379893656728 0.9322619539254282 
recreation 	 1675.1945644016287 0.9322619539254282 
spt 	 1687.1393494176102 0.9322619539254282 
contacts 	 2385.5155696251577 1.2717307915514249 
promotion 	 832.3812871495684 1.6272546222608926 
country 	 2108.886780380888 0.9322619539254282 
emirates 	 3877.5907098852995 1.2717307915514249 
africa 	 3532.6883064947583 0.9322619539254282 
near 	 629.4900664160638 1.6272546222608926 
east 	 640.4194029273291 1.5548110435435696 
south 	 2305.899785039907 0.9322619539254282 
asia 	 2167.481560294612 1.2717307915514249 
anesa 	 7755.181419770599 0.9322619539254282 
middle 	 608.1739513530406 1.6272546222608926 
eastern 	 727.7903986188385 1.5548110435435696 
countries 	 329.41425500570097 1.7187784391993488 
opec 	 5958.54392775922 0.9322619539254282 
organization 	 1894.9434239150426 0.9322619539254282 
petroleum 	 5433.061147651039 0.9322619539254282 
exporting 	 5433.061147651039 0.9322619539254282 
summary 	 2659.5353997598727 0.9322619539254282 
article 	 1410.8734165141323 1.2717307915514249 
derived 	 4431.007052500447 0.9322619539254282 
report 	 681.357758438709 1.4474154790941047 
titled 	 5233.281866594913 0.9322619539254282 
prepared 	 1874.5952001091107 1.2717307915514249 
anne 	 4771.031139250315 0.9322619539254282 
souza 	 7755.181419770599 0.9322619539254282 
american 	 359.2314222254766 1.5548110435435696 
consulate 	 5958.54392775922 0.9322619539254282 
dubai 	 1292.5302366284332 1.6794209898650796 
consists 	 4431.007052500447 0.9322619539254282 
pages 	 1508.0965107464708 0.9322619539254282 
contains 	 3749.1904002182214 0.9322619539254282 
following 	 1909.107499324761 0.9322619539254282 
subtopics 	 6856.86267376491 0.9322619539254282 
overview 	 1124.5657930373147 1.2717307915514249 
statistical 	 2004.6298107685848 1.2717307915514249 
sales 	 883.1720766236896 1.5548110435435696 
competitive 	 484.0890491555783 1.7495287648185938 
situation 	 1257.693488328511 1.2717307915514249 
opportunities 	 1631.7938448710765 1.2717307915514249 
firms 	 380.9480340481042 1.794475206978013 
reminded 	 1811.0203825503465 1.4474154790941047 
export 	 1002.3149053842924 1.5548110435435696 
amendments 	 2453.789183771429 1.2717307915514249 
regulations 	 3347.229613136445 0.9322619539254282 
prohibit 	 4907.578367542858 0.9322619539254282 
forms 	 2345.1755179858533 0.9322619539254282 
foreign 	 983.682248997129 1.2717307915514249 
boycotts 	 3428.431336882455 1.2717307915514249 
including 	 284.4690213988616 1.5548110435435696 
furnishing 	 3877.5907098852995 1.2717307915514249 
information 	 269.12887832536927 1.5548110435435696 
entering 	 968.1780983111566 1.5548110435435696 
implementing 	 4431.007052500447 0.9322619539254282 
agreements 	 1177.562768831586 1.4474154790941047 
document 	 3436.6443745835345 0.9322619539254282 
subsequent 	 3391.1660241081286 0.9322619539254282 
aspects 	 2448.9108671307563 0.9322619539254282 
transaction 	 5433.061147651039 0.9322619539254282 
involve 	 4771.031139250315 0.9322619539254282 
conditions 	 1224.4554335653781 1.2717307915514249 
requirements 	 2850.871654212532 0.9322619539254282 
prohibited 	 4771.031139250315 0.9322619539254282 
violators 	 7755.181419770599 0.9322619539254282 
law 	 361.34285927345456 1.4474154790941047 
subject 	 572.8772646552188 1.2717307915514249 
severe 	 4009.2596215371696 0.9322619539254282 
penalties 	 4647.509146223911 0.9322619539254282 
fine 	 3939.1885027708922 0.9322619539254282 
imprisonment 	 4334.963120589224 0.9322619539254282 
revocation 	 6856.86267376491 0.9322619539254282 
license 	 4534.742401645351 0.9322619539254282 
privileges 	 4647.509146223911 0.9322619539254282 
person 	 2492.8472781024393 0.9322619539254282 
receiving 	 4245.548359142134 0.9322619539254282 
request 	 3532.6883064947583 0.9322619539254282 
implementation 	 3223.7076201100404 0.9322619539254282 
action 	 2609.683099807049 0.9322619539254282 
supports 	 4334.963120589224 0.9322619539254282 
restrictive 	 5433.061147651039 0.9322619539254282 
practices 	 1396.6310849603658 1.2717307915514249 
receipt 	 5233.281866594913 0.9322619539254282 
department 	 830.9490927008131 1.4474154790941047 
commerce 	 2215.5035262502233 1.2717307915514249 
accordance 	 4647.509146223911 0.9322619539254282 
concerning 	 2538.3256285778452 0.9322619539254282 
comply 	 5233.281866594913 0.9322619539254282 
available 	 405.67279841324154 1.6272546222608926 
office 	 1062.8047965241121 1.2717307915514249 
washington 	 1369.052454816986 1.2717307915514249 
counsel 	 4771.031139250315 0.9322619539254282 
treasury 	 5233.281866594913 0.9322619539254282 
past 	 1115.374149562527 1.2717307915514249 
uae 	 267.42004895760687 1.9240134270828733 
developed 	 2585.4580954232993 0.9322619539254282 
popular 	 420.341717331688 1.7187784391993488 
base 	 3532.6883064947583 0.9322619539254282 
businessmen 	 2834.6749426280026 1.2717307915514249 
tourists 	 5958.54392775922 0.9322619539254282 
industrialists 	 6856.86267376491 0.9322619539254282 
alike 	 6856.86267376491 0.9322619539254282 
worldwide 	 3809.4803404810423 0.9322619539254282 
particular 	 2448.9108671307563 0.9322619539254282 
known 	 1182.6344718682321 1.2717307915514249 
ideal 	 1904.7401702405211 1.2717307915514249 
location 	 4009.2596215371696 0.9322619539254282 
investment 	 3147.4503320803187 0.9322619539254282 
manufacturing 	 1969.5942513854461 1.2717307915514249 
operations 	 1410.8734165141323 1.2717307915514249 
class 	 2634.369560489069 0.9322619539254282 
holiday 	 5060.225181753532 0.9322619539254282 
destination 	 6331.379893656728 0.9322619539254282 
featuring 	 5060.225181753532 0.9322619539254282 
finest 	 6331.379893656728 0.9322619539254282 
leisure 	 5433.061147651039 0.9322619539254282 
facilities 	 3347.229613136445 0.9322619539254282 
world 	 478.9752296339688 1.4474154790941047 
sea 	 622.1881751062961 1.6272546222608926 
faring 	 6856.86267376491 0.9322619539254282 
traditions 	 4907.578367542858 0.9322619539254282 
gulf 	 1889.7832950853349 1.4474154790941047 
traditional 	 2738.104909633972 0.9322619539254282 
sailing 	 2979.27196387961 1.2717307915514249 
ships 	 5233.281866594913 0.9322619539254282 
dhows 	 7755.181419770599 0.9322619539254282 
continue 	 1503.6027631932884 1.2717307915514249 
ply 	 7755.181419770599 0.9322619539254282 
arabian 	 6856.86267376491 0.9322619539254282 
today's 	 4083.3369258737425 0.9322619539254282 
vessels 	 632.5281477191915 1.7495287648185938 
dominated 	 4431.007052500447 0.9322619539254282 
power 	 1867.071381948674 0.9322619539254282 
coastline 	 3877.5907098852995 1.2717307915514249 
attributes 	 5669.349885256005 0.9322619539254282 
hardly 	 5958.54392775922 0.9322619539254282 
surprising 	 5958.54392775922 0.9322619539254282 
watersports 	 7755.181419770599 0.9322619539254282 
time 	 617.8669368230012 1.2717307915514249 
represented 	 4083.3369258737425 0.9322619539254282 
boston 	 2385.5155696251577 1.2717307915514249 
whaler 	 3877.5907098852995 1.2717307915514249 
