term 	 tf-idf weight 	 BM25 ranking 
 responses 	 131.63099654418767 1.9341915053243766 
question 	 75.40550671315358 1.9341915053243766 
science 	 84.20621073983861 1.872575807786177 
sar_refs 	 460.7630936129137 1.872575807786177 
html 	 6.051419222715539 1.9731464445107192 
submitted 	 263.26199308837533 1.872575807786177 
submit 	 79.401489418303 1.9556411385668442 
response 	 55.883360633533016 1.9556411385668442 
enter 	 76.69723618308545 1.9556411385668442 
box 	 99.43544761246385 1.9341915053243766 
text 	 201.48131470395518 1.872575807786177 
autoscroll 	 460.7630936129137 1.872575807786177 
carriage 	 460.7630936129137 1.872575807786177 
return 	 116.88816847651071 1.872575807786177 
line 	 125.2965139578151 1.872575807786177 
optional 	 247.27376200045052 1.872575807786177 
identifying 	 300.6460949035663 1.872575807786177 
information 	 63.959640836584676 1.872575807786177 
name 	 150.81101342630717 1.872575807786177 
affiliation 	 354.0184278066821 1.872575807786177 
mail 	 135.86100031435345 1.872575807786177 
bulletin 	 168.418187177744 1.9341915053243766 
board 	 84.69024590060377 1.9341915053243766 
press 	 125.2965139578151 1.872575807786177 
button 	 92.12622941869611 1.872575807786177 
bboard 	 65.82329908755909 1.9807450225640824 
images 	 36.698177608043316 1.9665453526669656 
red 	 196.3460788675574 1.872575807786177 
gif 	 6.65244601855381 1.9665453526669656 
welcome 	 111.37641235216168 1.9341915053243766 
page 	 18.898681237845715 1.9341915053243766 
green 	 206.98365493058031 1.872575807786177 
technical 	 98.1730394337787 1.9341915053243766 
questionlist 	 460.7630936129137 1.872575807786177 
blue 	 230.09170854925637 1.872575807786177 
submitquestion 	 460.7630936129137 1.872575807786177 
comment 	 283.46404145237216 1.872575807786177 
yellow 	 222.75282470432336 1.872575807786177 
index 	 33.48423507598174 1.872575807786177 
imaging 	 234.04129221709775 1.872575807786177 
radar 	 222.75282470432336 1.872575807786177 
home 	 34.38835505248635 1.872575807786177 
sharon 	 226.33486590821008 1.872575807786177 
okonek 	 460.7630936129137 1.872575807786177 
jpl 	 216.05294867612187 1.872575807786177 
nasa 	 198.8708952249277 1.872575807786177 
gov 	 178.6688468609309 1.872575807786177 
