term 	 tf-idf weight 	 BM25 ranking 
 appendix 	 1275.2821223631688 1.5041745422401396 
north 	 6.5161570164914275 1.993493849371987 
carolina 	 16.15532565701389 1.993493849371987 
notice 	 1133.7324934672397 1.5041745422401396 
capacity 	 1031.3675500204831 1.5041745422401396 
requirements 	 820.5054992448106 1.5041745422401396 
county 	 177.02717025600523 1.8763018271837597 
telecommunications 	 1197.8326393008836 1.5041745422401396 
carriers 	 1337.59329594253 1.5041745422401396 
providing 	 765.4372716901485 1.5041745422401396 
local 	 583.780685988191 1.5041745422401396 
services 	 525.6410377145602 1.5041745422401396 
represent 	 1062.4688901547493 1.5041745422401396 
historical 	 310.7925831736391 1.7170086981780934 
simultaneous 	 706.2217326749561 1.7170086981780934 
interceptions 	 407.92197283960064 1.84773169782432 
estimation 	 1305.1380523253981 1.5041745422401396 
requirement 	 501.3305408383536 1.7170086981780934 
pen 	 1456.3765376497433 1.5041745422401396 
register 	 1247.6398487498307 1.5041745422401396 
trap 	 1563.6819506742575 1.5041745422401396 
trace 	 1506.1837470986902 1.5041745422401396 
call 	 704.8177109874784 1.5041745422401396 
content 	 772.8236516716236 1.5041745422401396 
conducted 	 343.78918334016106 1.802000439906911 
estimated 	 501.3305408383536 1.7170086981780934 
actual 	 939.288740952024 1.5041745422401396 
maximum 	 1046.5941539765383 1.5041745422401396 
experience 	 669.2670139204653 1.5041745422401396 
alamance 	 2232.008232696322 1.5041745422401396 
alexander 	 1247.6398487498307 1.5041745422401396 
alleghany 	 2232.008232696322 1.5041745422401396 
anson 	 2232.008232696322 1.5041745422401396 
ashe 	 2232.008232696322 1.5041745422401396 
avery 	 2232.008232696322 1.5041745422401396 
beaufort 	 2232.008232696322 1.5041745422401396 
bertie 	 2232.008232696322 1.5041745422401396 
bladen 	 2232.008232696322 1.5041745422401396 
brunswick 	 1822.225849023117 1.5041745422401396 
buncombe 	 2232.008232696322 1.5041745422401396 
burke 	 1822.225849023117 1.5041745422401396 
cabarrus 	 2232.008232696322 1.5041745422401396 
caldwell 	 1973.4643343474625 1.5041745422401396 
camden 	 2232.008232696322 1.5041745422401396 
carteret 	 2232.008232696322 1.5041745422401396 
caswell 	 2232.008232696322 1.5041745422401396 
catawba 	 2232.008232696322 1.5041745422401396 
chatham 	 2232.008232696322 1.5041745422401396 
