term 	 tf-idf weight 	 BM25 ranking 
 official 	 706.0832705486765 1.5688226060202866 
learn 	 423.8680799845177 1.7583643450070308 
home 	 8.68082664068446 1.9662249986219673 
web 	 638.2064115164509 1.5688226060202866 
site 	 620.4301448122269 1.5688226060202866 
national 	 177.23099970254717 1.7583643450070308 
center 	 483.02015885344565 1.5688226060202866 
education 	 33.77760055089828 1.9465020656371954 
news 	 567.5915443688583 1.5688226060202866 
page 	 152.66207441480566 1.5688226060202866 
ccnlearn 	 1429.8666369854302 1.5688226060202866 
gif 	 26.868970282730324 1.8714144596896354 
bbar 	 714.9333184927151 1.7583643450070308 
cgi 	 962.098566588009 1.5688226060202866 
bin 	 1115.258753453423 1.5688226060202866 
imagemap 	 1040.2573537833707 1.5688226060202866 
hsldasm 	 1861.0041832937163 1.5688226060202866 
hnche 	 1861.0041832937163 1.5688226060202866 
summary 	 638.2064115164509 1.5688226060202866 
christian 	 382.15303006904503 1.7583643450070308 
leadership 	 847.7361599690354 1.5688226060202866 
conference 	 698.5889320075887 1.5688226060202866 
phoenix 	 1429.8666369854302 1.5688226060202866 
arizona 	 1063.3049331231782 1.5688226060202866 
october 	 670.2967089856077 1.5688226060202866 
please 	 553.3447786631258 1.5688226060202866 
reproduce 	 1360.468992526711 1.5688226060202866 
school 	 96.24423159078214 1.9123989347417578 
community 	 239.6698212626139 1.7583643450070308 
impact 	 582.5224115358164 1.5688226060202866 
learning 	 824.6885806292278 1.5688226060202866 
disabled 	 1115.258753453423 1.5688226060202866 
children 	 73.45787805533035 1.9335718034587943 
look 	 498.19389991013907 1.5688226060202866 
research 	 71.3841020463613 1.8957915983891067 
steven 	 1429.8666369854302 1.5688226060202866 
duvall 	 310.16736388228605 1.9123989347417578 
behavioral 	 572.450109686284 1.7583643450070308 
psychologist 	 714.9333184927151 1.7583643450070308 
limits 	 962.098566588009 1.5688226060202866 
professional 	 626.2433981790064 1.5688226060202866 
studies 	 333.16851382980406 1.5688226060202866 
objectively 	 1861.0041832937163 1.5688226060202866 
measurable 	 1360.468992526711 1.5688226060202866 
behaviors 	 1303.7669883637911 1.5688226060202866 
methodology 	 499.3645453385721 1.7583643450070308 
identify 	 945.2836607729532 1.5688226060202866 
measured 	 381.6334064575227 1.8321497977442245 
manipulate 	 1645.4354101395734 1.5688226060202866 
environment 	 567.5915443688583 1.5688226060202866 
changes 	 514.1461144646673 1.5688226060202866 
measure 	 436.31472102775257 1.7583643450070308 
factors 	 582.5224115358164 1.5688226060202866 
amount 	 147.60174249227248 1.8957915983891067 
time 	 29.65379897406688 1.9465020656371954 
kind 	 396.5170813494178 1.7583643450070308 
interactions 	 651.8834941818956 1.7583643450070308 
shown 	 835.9989179663698 1.5688226060202866 
significant 	 663.608279161888 1.5688226060202866 
difference 	 417.9994589831849 1.7583643450070308 
educational 	 214.78834286852094 1.8321497977442245 
outcomes 	 1214.2978638312873 1.5688226060202866 
students 	 773.5903316776408 1.5688226060202866 
traditional 	 657.0606689013622 1.5688226060202866 
classrooms 	 186.252426909113 1.9244405808063885 
trying 	 899.68998029928 1.5688226060202866 
public 	 55.91062119989411 1.9123989347417578 
schools 	 139.33315299439496 1.9123989347417578 
biggest 	 1018.8005707509288 1.5688226060202866 
differences 	 620.4301448122269 1.5688226060202866 
special 	 51.41461144646673 1.9465020656371954 
physical 	 587.6630244426428 1.5688226060202866 
arrangement 	 557.6293767267115 1.7583643450070308 
room_ 	 1861.0041832937163 1.5688226060202866 
academic 	 121.1051657098622 1.9244405808063885 
responses_ 	 1861.0041832937163 1.5688226060202866 
teachers 	 481.0492832940045 1.7583643450070308 
sitting 	 607.1489319156436 1.7583643450070308 
side 	 342.0606035725685 1.7583643450070308 
obvious 	 1144.900219372568 1.5688226060202866 
advantage 	 401.6158987983929 1.7583643450070308 
divided 	 520.1286768916854 1.7583643450070308 
approach 	 316.08369340744616 1.7583643450070308 
placed 	 859.9338017597058 1.5688226060202866 
full 	 178.43691384462238 1.8321497977442245 
setting 	 721.6365113473962 1.5688226060202866 
contrast 	 793.0341626988356 1.5688226060202866 
fraction 	 1519.335761517934 1.5688226060202866 
include 	 530.961020279723 1.5688226060202866 
child 	 169.2830372437867 1.8714144596896354 
experience 	 558.0215585234979 1.5688226060202866 
provide 	 526.6712970965666 1.5688226060202866 
attention 	 663.608279161888 1.5688226060202866 
participation 	 847.7361599690354 1.5688226060202866 
duvall's 	 620.3347277645721 1.8321497977442245 
findings 	 885.8654821397506 1.5688226060202866 
centered 	 1063.3049331231782 1.5688226060202866 
responding 	 1519.335761517934 1.5688226060202866 
familiar 	 1255.826126937514 1.5688226060202866 
body 	 663.608279161888 1.5688226060202866 
proves 	 1360.468992526711 1.5688226060202866 
function 	 663.608279161888 1.5688226060202866 
spends 	 759.667880758967 1.7583643450070308 
opposed 	 835.9989179663698 1.5688226060202866 
merely 	 1018.8005707509288 1.5688226060202866 
class 	 632.1673868148923 1.5688226060202866 
respect 	 738.0087124613624 1.5688226060202866 
enormous 	 1115.258753453423 1.5688226060202866 
spent 	 481.0492832940045 1.7583643450070308 
responses 	 1063.3049331231782 1.5688226060202866 
schooled 	 1861.0041832937163 1.5688226060202866 
mode 	 1040.2573537833707 1.5688226060202866 
figure 	 872.6294420555051 1.5688226060202866 
detailing 	 1303.7669883637911 1.5688226060202866 
various 	 379.96808957161403 1.5688226060202866 
modes 	 1177.667339742152 1.5688226060202866 
objective 	 481.0492832940045 1.7583643450070308 
involving 	 824.6885806292278 1.5688226060202866 
technique 	 835.9989179663698 1.5688226060202866 
perfected 	 1861.0041832937163 1.5688226060202866 
laptop 	 1360.468992526711 1.5688226060202866 
computer 	 721.6365113473962 1.5688226060202866 
sat 	 1360.468992526711 1.5688226060202866 
teaching 	 847.7361599690354 1.5688226060202866 
sessions 	 1255.826126937514 1.5688226060202866 
observation 	 713.762673064282 1.5688226060202866 
creating 	 824.6885806292278 1.5688226060202866 
tens 	 1429.8666369854302 1.5688226060202866 
thousands 	 979.874833292233 1.5688226060202866 
data 	 522.4399393072194 1.5688226060202866 
fed 	 1519.335761517934 1.5688226060202866 
statistical 	 962.098566588009 1.5688226060202866 
analysis 	 382.6376338596368 1.5688226060202866 
package 	 1018.8005707509288 1.5688226060202866 
frequently 	 803.2317975967858 1.5688226060202866 
included 	 713.762673064282 1.5688226060202866 
observer 	 1519.335761517934 1.5688226060202866 
double 	 1018.8005707509288 1.5688226060202866 
checked 	 1360.468992526711 1.5688226060202866 
readings 	 1303.7669883637911 1.5688226060202866 
ensure 	 835.9989179663698 1.5688226060202866 
observations 	 962.098566588009 1.5688226060202866 
truly 	 1088.1982152096482 1.5688226060202866 
children's 	 998.7290906771442 1.5688226060202866 
progress 	 783.1603175230013 1.5688226060202866 
found 	 582.5224115358164 1.5688226060202866 
strong 	 755.2909361705085 1.5688226060202866 
correlation 	 1088.1982152096482 1.5688226060202866 
increased 	 377.64546808525427 1.7583643450070308 
interaction 	 962.098566588009 1.5688226060202866 
results 	 269.8610815081828 1.7583643450070308 
demonstrating 	 1429.8666369854302 1.5688226060202866 
schooling 	 1519.335761517934 1.5688226060202866 
concluded 	 1144.900219372568 1.5688226060202866 
suggestions 	 885.8654821397506 1.5688226060202866 
schoolers 	 1861.0041832937163 1.5688226060202866 
effective 	 650.6480705813113 1.5688226060202866 
helping 	 929.3314462184251 1.5688226060202866 
reading 	 442.9327410698753 1.7583643450070308 
difficulties 	 872.6294420555051 1.5688226060202866 
targeted 	 1255.826126937514 1.5688226060202866 
method 	 670.2967089856077 1.5688226060202866 
instruction 	 1063.3049331231782 1.5688226060202866 
differentiate 	 1519.335761517934 1.5688226060202866 
kinds 	 1255.826126937514 1.5688226060202866 
content 	 644.3650286055628 1.5688226060202866 
booklet 	 1519.335761517934 1.5688226060202866 
parents 	 449.84499014964 1.7583643450070308 
help 	 535.3107415338671 1.5688226060202866 
achieve 	 813.7751801679228 1.5688226060202866 
