term 	 tf-idf weight 	 BM25 ranking 
 copyright 	 58.92801373945206 1.874816544285572 
travel 	 89.56385381814476 1.9492404024111345 
trade 	 100.33346767105238 1.9202071012105764 
gazette 	 191.28303690070047 1.9145329305801067 
asia 	 136.8922681827587 1.9301895822649697 
newsnet 	 792.721621103811 1.7661441891380871 
september 	 162.61614243023115 1.8857965689963334 
sample 	 32543.1444992074 0.22695777159731326 
issue 	 6274.579354349546 0.407655276614473 
headlines 	 40643.15456897493 0.22695777159731326 
indonesian 	 5806.16493842499 0.9451660557641991 
skies 	 14395.421363149557 0.5549280754019316 
words 	 409.703428030974 1.7625908089411673 
indian 	 3038.5678201636297 1.0706503101601446 
flyer 	 17632.665573758255 0.5549280754019316 
plan 	 3199.282651079466 0.780505348675992 
takes 	 4397.773975582216 0.780505348675992 
tourism 	 604.227587114958 1.78242664335621 
operative 	 9264.710753324689 0.6772651892054877 
hails 	 23385.287822562423 0.407655276614473 
leisure 	 2850.680231792212 1.2492665359640707 
alliance 	 2683.5899822135434 1.0118761367923732 
mathis 	 11692.643911281211 0.6772651892054877 
penang 	 13224.499180318691 0.6772651892054877 
bound 	 7239.708235882807 0.6772651892054877 
ritz 	 6612.249590159346 1.0118761367923732 
carlton's 	 13224.499180318691 0.6772651892054877 
manager 	 688.9527216780366 1.6662318795784008 
iha's 	 26448.998360637383 0.407655276614473 
spearman 	 7556.856674467824 0.9451660557641991 
retires 	 14395.421363149557 0.5549280754019316 
spain 	 5677.66248333502 0.780505348675992 
foreign 	 789.3746442569554 1.370292982750469 
investment 	 1789.059988142362 1.2113740753058344 
growing 	 1849.4305285976825 1.1228251713993636 
laos 	 4069.0766708672895 1.2492665359640707 
continues 	 14479.416471765613 0.407655276614473 
develop 	 2836.7138993785416 0.9451660557641991 
cambodians 	 26448.998360637383 0.407655276614473 
hold 	 11270.774916813034 0.407655276614473 
trek 	 15590.191881708282 0.5549280754019316 
tours 	 1208.455174229916 1.6075469503780857 
vietnam 	 1856.0298836999789 1.2836845704021962 
airport 	 1029.4123059249655 1.6433774215314079 
comfortable 	 12352.947671099584 0.5549280754019316 
chaos 	 17848.0755018129 0.407655276614473 
hanoi 	 4069.0766708672895 1.2492665359640707 
destination 	 7197.710681574778 0.8687963950838536 
authenticity 	 19335.282787678658 0.407655276614473 
hong 	 367.1886541789895 1.8465368377094307 
kong 	 410.9015892002978 1.8298219411901622 
autumn 	 8924.03775090645 0.6772651892054877 
delight 	 15590.191881708282 0.5549280754019316 
cruise 	 2139.1133983671016 1.4172646400743887 
potential 	 1649.1507389083383 1.1694531186213246 
hampered 	 23385.287822562423 0.407655276614473 
facilities 	 5707.852966845327 0.6772651892054877 
theme 	 2442.6505586766752 1.1694531186213246 
park 	 1888.9902750821736 1.3438482737474244 
idea 	 4688.261770265192 0.780505348675992 
water 	 1864.7374335898808 1.1694531186213246 
handover 	 8816.332786879128 0.8687963950838536 
plans 	 902.4293400916723 1.370292982750469 
considered 	 3052.618892214992 0.8687963950838536 
flip 	 26448.998360637383 0.407655276614473 
eco 	 839.7848018487326 1.2836845704021962 
development 	 571.4837600736798 1.3946886841755766 
push 	 21593.132044724338 0.407655276614473 
lantau 	 2034.5383354336448 1.5379058900053064 
name 	 1731.3887775176042 1.1228251713993636 
choice 	 6837.370589829563 0.5549280754019316 
conrad 	 7411.768602659751 0.780505348675992 
lima 	 8816.332786879128 0.8687963950838536 
close 	 6913.9116897645035 0.5549280754019316 
hotels 	 1231.6107445143919 1.6171630194495823 
fear 	 3805.2353112302176 0.8687963950838536 
phone 	 6690.006550536227 0.5549280754019316 
surcharge 	 17632.665573758255 0.5549280754019316 
cut 	 5913.745985495176 0.780505348675992 
expedia 	 17632.665573758255 0.5549280754019316 
travellers 	 4808.908792843161 1.1694531186213246 
ibm 	 3906.7300544960954 0.9451660557641991 
software 	 6201.000215249732 0.6772651892054877 
inter 	 5913.745985495176 0.780505348675992 
continental 	 5752.6222488041685 0.8687963950838536 
goes 	 4688.261770265192 0.780505348675992 
line 	 1598.2989659265302 1.0706503101601446 
cybernomics 	 17632.665573758255 0.5549280754019316 
threat 	 8393.409284153693 0.5549280754019316 
agents 	 688.9527216780366 1.6662318795784008 
life 	 1095.2796706543634 1.1228251713993636 
event 	 2324.8346757806594 1.1694531186213246 
maintains 	 16271.5722496037 0.407655276614473 
integrity 	 11898.717001208597 0.5549280754019316 
mystery 	 12890.188525119105 0.5549280754019316 
absent 	 21593.132044724338 0.407655276614473 
friends 	 7925.150627434293 0.6772651892054877 
spotlight 	 18529.421506649378 0.407655276614473 
ustta 	 17632.665573758255 0.5549280754019316 
options 	 4402.62057050958 0.8687963950838536 
praise 	 19335.282787678658 0.407655276614473 
asian 	 1511.1922200657389 1.4382171396373322 
markets 	 2031.9787248505756 1.2492665359640707 
pose 	 17257.866746412506 0.407655276614473 
challenge 	 12786.590716793626 0.407655276614473 
mixed 	 10847.714833069133 0.5549280754019316 
views 	 7864.256982929312 0.407655276614473 
pull 	 10160.788642243733 0.6772651892054877 
thumbs 	 17632.665573758255 0.5549280754019316 
pata's 	 8816.332786879128 0.8687963950838536 
fair 	 4960.800172199785 0.780505348675992 
call 	 4175.997697807848 0.6772651892054877 
thailand 	 2709.5436379316625 1.3150850952338666 
singaporeans 	 10579.599344254953 0.780505348675992 
jakarta 	 2784.1050905934085 1.4172646400743887 
hotel 	 699.9245294828588 1.7343336786497914 
change 	 1416.088127075765 1.1228251713993636 
ana 	 13224.499180318691 0.6772651892054877 
flat 	 12352.947671099584 0.5549280754019316 
success 	 5431.242420916975 0.6772651892054877 
australia 	 3245.104636693254 1.1694531186213246 
single 	 4763.20169407779 0.6772651892054877 
air 	 1533.4799898363106 1.2836845704021962 
market 	 428.3074561854203 1.6662318795784008 
goal 	 11881.399412898247 0.407655276614473 
asians 	 4677.0575645124845 1.1228251713993636 
wooed 	 23385.287822562423 0.407655276614473 
outback 	 7556.856674467824 0.9451660557641991 
deal 	 6549.662566181223 0.5549280754019316 
international 	 384.74169242983174 1.5974353636035679 
events 	 5424.228579991204 0.5549280754019316 
guide 	 4196.7046420768465 0.8687963950838536 
laos' 	 26448.998360637383 0.407655276614473 
tragic 	 14784.364963737939 0.407655276614473 
loss 	 4195.496474699964 0.780505348675992 
lesson 	 17257.866746412506 0.407655276614473 
industry 	 820.1528573799275 1.370292982750469 
lao 	 6169.466298492668 0.9451660557641991 
aviation 	 3515.50596139612 1.1694531186213246 
struggles 	 16271.5722496037 0.407655276614473 
busy 	 23385.287822562423 0.407655276614473 
time 	 495.8191468332726 1.370292982750469 
indonesia 	 2549.725071687557 1.2836845704021962 
fee 	 9462.770805558364 0.5549280754019316 
battle 	 12992.209185899852 0.407655276614473 
looming 	 26448.998360637383 0.407655276614473 
win 	 13207.861711528742 0.407655276614473 
games 	 6186.284387429769 0.780505348675992 
exclusive 	 17257.866746412506 0.407655276614473 
operators 	 1611.2735656398881 1.5088545238261843 
hail 	 26448.998360637383 0.407655276614473 
beijing's 	 26448.998360637383 0.407655276614473 
drive 	 8956.385381814476 0.5549280754019316 
raise 	 10310.473979049613 0.5549280754019316 
standards 	 9526.40338815558 0.407655276614473 
hawaii 	 3966.2390004028657 1.0706503101601446 
eyes 	 6496.104592949926 0.6772651892054877 
visa 	 6445.094262559553 0.8687963950838536 
waiver 	 8637.252817889736 0.780505348675992 
net 	 4102.422353897738 0.780505348675992 
rates 	 2570.122398243815 1.0706503101601446 
falling 	 19335.282787678658 0.407655276614473 
singapore 	 1661.0101572864874 1.5379058900053064 
attractions 	 11692.643911281211 0.6772651892054877 
distractions 	 26448.998360637383 0.407655276614473 
lufthansa 	 4808.908792843161 1.1694531186213246 
quitting 	 26448.998360637383 0.407655276614473 
nepal 	 5877.555191252752 1.0706503101601446 
flights 	 3867.056557535732 1.1228251713993636 
rebels 	 12352.947671099584 0.5549280754019316 
hurting 	 15590.191881708282 0.5549280754019316 
irian 	 8816.332786879128 0.8687963950838536 
trekking 	 13224.499180318691 0.6772651892054877 
india 	 2734.7110381472667 1.1228251713993636 
slam 	 26448.998360637383 0.407655276614473 
fare 	 6169.466298492668 0.9451660557641991 
hike 	 13224.499180318691 0.6772651892054877 
tour 	 721.1885348164849 1.6799074786425154 
killed 	 4262.196905597875 0.8687963950838536 
extended 	 8661.4727905999 0.5549280754019316 
full 	 3043.1813216459072 0.780505348675992 
policy 	 3512.766548492601 0.6772651892054877 
association 	 1072.3389696010838 1.3438482737474244 
south 	 983.032122866164 1.3438482737474244 
east 	 1747.317136381972 1.1228251713993636 
