term 	 tf-idf weight 	 BM25 ranking 
 nelson 	 443.0452692920636 1.812584353987157 
communications 	 62.66996160464159 1.9016857707990928 
images 	 148.69910926895474 1.8710276637039875 
logosm 	 1023.6326181712232 1.6572838886757373 
gif 	 26.955365685568683 1.8710276637039875 
index 	 50.87864290766057 1.812584353987157 
htm 	 76.7590330920203 1.812584353987157 
professional 	 471.1927819096061 1.6572838886757373 
public 	 126.20339576310502 1.812584353987157 
relations 	 104.08575418582913 1.9016857707990928 
firm 	 637.8464997837758 1.6572838886757373 
sacramento 	 980.9693738814377 1.6572838886757373 
blball 	 511.8163090856116 1.812584353987157 
san 	 575.0727269206209 1.6572838886757373 
diego 	 818.7729336304105 1.6572838886757373 
irvine 	 1023.6326181712232 1.6572838886757373 
media 	 20.263053757528183 1.9594791762536754 
training 	 126.08475072558858 1.9016857707990928 
credible 	 1075.8482091787482 1.6572838886757373 
cost 	 475.65005953274857 1.6572838886757373 
effective 	 244.77756996145797 1.812584353987157 
spread 	 766.5573426228854 1.6572838886757373 
message 	 375.72766433834687 1.812584353987157 
contact 	 125.93009740117319 1.8710276637039875 
executives 	 839.1335958459839 1.6572838886757373 
sound 	 620.5052342998049 1.6572838886757373 
scary 	 1238.0446494297755 1.6572838886757373 
needn't 	 1400.2410896808026 1.6572838886757373 
comfortable 	 980.9693738814377 1.6572838886757373 
reporters 	 163.7545867260821 1.9205676839466315 
aggressive 	 1023.6326181712232 1.6572838886757373 
ones 	 751.4553286766937 1.6572838886757373 
help 	 201.38699922656738 1.812584353987157 
achieve 	 306.14693273198384 1.812584353987157 
goals 	 656.5764933793834 1.6572838886757373 
theirs 	 1400.2410896808026 1.6572838886757373 
highly 	 589.2588884256666 1.6572838886757373 
acclaimed 	 1238.0446494297755 1.6572838886757373 
california 	 302.1804511859291 1.812584353987157 
people 	 137.0949752618284 1.812584353987157 
emmy 	 1400.2410896808026 1.6572838886757373 
award 	 355.62118427792774 1.812584353987157 
winning 	 368.634583585824 1.812584353987157 
journalist 	 766.5573426228854 1.6572838886757373 
steve 	 443.0452692920636 1.812584353987157 
swatt 	 700.1205448404013 1.812584353987157 
html 	 5.408831543603652 1.9759636979340238 
investigative 	 886.0905385841272 1.6572838886757373 
top 	 218.57478398441089 1.6572838886757373 
level 	 347.28562682352054 1.6572838886757373 
political 	 110.79709035800667 1.812584353987157 
press 	 190.38561211771903 1.812584353987157 
aides 	 886.0905385841272 1.6572838886757373 
benefits 	 494.3800531283561 1.6572838886757373 
organization 	 342.1425626513271 1.6572838886757373 
news 	 142.35414939154646 1.8710276637039875 
newsworthy 	 1238.0446494297755 1.6572838886757373 
bad 	 766.5573426228854 1.6572838886757373 
flat 	 980.9693738814377 1.6572838886757373 
uninteresting 	 1400.2410896808026 1.6572838886757373 
orange 	 818.7729336304105 1.6572838886757373 
county 	 555.2862981220541 1.6572838886757373 
developer 	 1238.0446494297755 1.6572838886757373 
kathryn 	 1400.2410896808026 1.6572838886757373 
thompson 	 944.8981148018593 1.6572838886757373 
helped 	 800.0429400348029 1.6572838886757373 
numerous 	 582.0583202976461 1.6572838886757373 
appearances 	 944.8981148018593 1.6572838886757373 
national 	 266.7013114494922 1.6572838886757373 
television 	 294.6294442128333 1.812584353987157 
including 	 205.4498487880667 1.6572838886757373 
larry 	 839.1335958459839 1.6572838886757373 
king 	 612.2938654639677 1.6572838886757373 
live 	 596.6880838312783 1.6572838886757373 
performance 	 525.6263990024944 1.6572838886757373 
led 	 537.0432974181415 1.6572838886757373 
invitations 	 1075.8482091787482 1.6572838886757373 
white 	 494.3800531283561 1.6572838886757373 
house 	 419.861880046619 1.6572838886757373 
conferences 	 886.0905385841272 1.6572838886757373 
extensive 	 647.0241466616436 1.6572838886757373 
leaders 	 484.8277064106164 1.6572838886757373 
teachers 	 723.8940983331 1.6572838886757373 
association 	 454.1670930075178 1.6572838886757373 
cta 	 1400.2410896808026 1.6572838886757373 
reason 	 549.0459283048283 1.6572838886757373 
school 	 434.49164358025115 1.6572838886757373 
voucher 	 1238.0446494297755 1.6572838886757373 
initiative 	 737.269167171648 1.6572838886757373 
defeated 	 1143.165814132465 1.6572838886757373 
trained 	 419.56679792299195 1.812584353987157 
discipline 	 737.269167171648 1.6572838886757373 
control 	 329.75872071101094 1.6572838886757373 
volatile 	 1143.165814132465 1.6572838886757373 
basic 	 484.8277064106164 1.6572838886757373 
rules 	 542.9676644864653 1.6572838886757373 
trainees 	 1400.2410896808026 1.6572838886757373 
spoke 	 980.9693738814377 1.6572838886757373 
newspaper 	 666.5354431533815 1.6572838886757373 
radio 	 509.48206707454773 1.6572838886757373 
authority 	 509.48206707454773 1.6572838886757373 
passion 	 913.6517689277209 1.6572838886757373 
commitment 	 656.5764933793834 1.6572838886757373 
campaign's 	 1238.0446494297755 1.6572838886757373 
biggest 	 766.5573426228854 1.6572838886757373 
asset 	 913.6517689277209 1.6572838886757373 
huge 	 800.0429400348029 1.6572838886757373 
margin 	 1075.8482091787482 1.6572838886757373 
victory 	 737.269167171648 1.6572838886757373 
election 	 561.6976580820728 1.6572838886757373 
day 	 324.98304474930853 1.6572838886757373 
athletes 	 1143.165814132465 1.6572838886757373 
spokesmen 	 1400.2410896808026 1.6572838886757373 
los 	 723.8940983331 1.6572838886757373 
angeles 	 766.5573426228854 1.6572838886757373 
dodger 	 1400.2410896808026 1.6572838886757373 
don 	 711.2423685558555 1.6572838886757373 
sutton 	 1238.0446494297755 1.6572838886757373 
actor 	 1143.165814132465 1.6572838886757373 
dennis 	 1143.165814132465 1.6572838886757373 
franz 	 913.6517689277209 1.6572838886757373 
quarterback 	 1400.2410896808026 1.6572838886757373 
beuerlein 	 1400.2410896808026 1.6572838886757373 
baseball 	 1238.0446494297755 1.6572838886757373 
player 	 1143.165814132465 1.6572838886757373 
jay 	 1023.6326181712232 1.6572838886757373 
johnstone 	 1400.2410896808026 1.6572838886757373 
mediarl2 	 1400.2410896808026 1.6572838886757373 
crisis 	 471.1927819096061 1.6572838886757373 
crisis2 	 1400.2410896808026 1.6572838886757373 
government 	 276.1001652132205 1.6572838886757373 
pubaffr2 	 1400.2410896808026 1.6572838886757373 
corporate 	 582.0583202976461 1.6572838886757373 
corpcom2 	 1400.2410896808026 1.6572838886757373 
grass 	 861.4361779201959 1.6572838886757373 
roots 	 596.6880838312783 1.6572838886757373 
lobbying 	 886.0905385841272 1.6572838886757373 
grassrts 	 1400.2410896808026 1.6572838886757373 
marketing 	 274.52296415241415 1.812584353987157 
advertising 	 699.2397376691687 1.6572838886757373 
markad 	 1400.2410896808026 1.6572838886757373 
online 	 766.5573426228854 1.6572838886757373 
support 	 324.98304474930853 1.6572838886757373 
onlpr 	 1400.2410896808026 1.6572838886757373 
agency 	 247.19002656417805 1.812584353987157 
specialties 	 490.48468694071886 1.812584353987157 
studio 	 472.44905740092963 1.812584353987157 
agover 	 980.9693738814377 1.6572838886757373 
meet 	 484.8277064106164 1.6572838886757373 
ncg 	 980.9693738814377 1.6572838886757373 
staflist 	 980.9693738814377 1.6572838886757373 
nelsongroup 	 456.82588446386046 1.812584353987157 
gazette 	 886.0905385841272 1.6572838886757373 
studies 	 250.67984641856637 1.6572838886757373 
clients 	 314.50763151789477 1.812584353987157 
campaigns 	 676.9371555949567 1.6572838886757373 
awards 	 368.634583585824 1.812584353987157 
feedback 	 751.4553286766937 1.6572838886757373 
mailto 	 169.98717262630169 1.6572838886757373 
lhart 	 980.9693738814377 1.6572838886757373 
sac 	 980.9693738814377 1.6572838886757373 
com 	 112.94666841333643 1.6572838886757373 
